timestamp,acc_x,acc_y,acc_z
26.793266188,0.0393,0.9396,0.5096
26.793558063,0.0352,0.9471,0.5106
26.793856501,0.0300,0.9513,0.5116
26.794146605,0.0259,0.9535,0.5113
26.794432646,0.0222,0.9569,0.5142
26.799825094,0.0191,0.9586,0.5191
26.800776396,0.0159,0.9569,0.5250
26.801117907,0.0120,0.9552,0.5355
26.803528896,0.0073,0.9515,0.5519
26.80637723,0.0027,0.9462,0.5734
26.809073167,-0.0024,0.9403,0.5956
26.811186448,-0.0103,0.9344,0.6193
26.814809417,-0.0183,0.9283,0.6459
26.815195042,-0.0244,0.9212,0.6716
26.817918428,-0.0286,0.9139,0.6994
26.820038063,-0.0313,0.9073,0.7278
26.822845563,-0.0337,0.9027,0.7544
26.82545848,-0.0357,0.8961,0.7808
26.827679573,-0.0366,0.8892,0.8069
26.830377751,-0.0364,0.8836,0.8338
26.832666292,-0.0359,0.8787,0.8587
26.834436761,-0.0362,0.8746,0.8802
26.837512438,-0.0371,0.8709,0.9005
26.839943636,-0.0374,0.8694,0.9190
26.844045459,-0.0357,0.8668,0.9361
26.844774886,-0.0327,0.8646,0.9513
26.847408584,-0.0303,0.8631,0.9635
26.849758948,-0.0274,0.8621,0.9740
26.85186223,-0.0225,0.8616,0.9830
26.854275615,-0.0178,0.8648,0.9889
26.856503115,-0.0127,0.8707,0.9936
26.860787178,-0.0073,0.8751,0.9984
26.861501917,-0.0020,0.8800,0.9999
26.863888428,0.0024,0.8861,0.9970
26.865919834,0.0081,0.8939,0.9914
26.868730407,0.0142,0.9024,0.9838
26.871067178,0.0186,0.9115,0.9750
26.873788063,0.0239,0.9205,0.9642
26.881172959,0.0291,0.9291,0.9506
26.891223011,0.0325,0.9364,0.9352
26.891900563,0.0364,0.9422,0.9205
26.89221598,0.0401,0.9498,0.9083
26.892499886,0.0437,0.9552,0.8961
26.892772907,0.0481,0.9598,0.8809
26.893045303,0.0520,0.9659,0.8660
26.893313376,0.0564,0.9711,0.8531
26.901338584,0.0599,0.9789,0.8394
26.902257594,0.0608,0.9879,0.8265
26.902540667,0.0611,0.9965,0.8152
26.902791396,0.0603,1.0050,0.8015
26.903999834,0.0606,1.0126,0.7879
26.907000719,0.0621,1.0212,0.7773
26.91050374,0.0606,1.0270,0.7654
26.911341032,0.0572,1.0321,0.7537
26.914079886,0.0540,1.0373,0.7444
26.919819053,0.0501,1.0405,0.7358
26.920145407,0.0452,1.0436,0.7314
26.921152855,0.0388,1.0466,0.7275
26.923292282,0.0327,1.0495,0.7256
26.926221709,0.0259,1.0517,0.7282
26.928811969,0.0186,1.0524,0.7322
